"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 21:54:59 GMT 2021","Wed Aug 11 21:55:00 GMT 2021","1001","vizsgaremek","test_conduit","Test_Conduit","","","test_login",""
"broken","Wed Aug 11 21:55:39 GMT 2021","Wed Aug 11 21:55:40 GMT 2021","700","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_delete_article",""
"passed","Wed Aug 11 21:55:00 GMT 2021","Wed Aug 11 21:55:03 GMT 2021","2149","vizsgaremek","test_conduit","Test_Conduit","","","test_cookie",""
"broken","Wed Aug 11 21:55:31 GMT 2021","Wed Aug 11 21:55:32 GMT 2021","687","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_change_article",""
"passed","Wed Aug 11 21:55:34 GMT 2021","Wed Aug 11 21:55:37 GMT 2021","2544","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_save_to_file",""
"passed","Wed Aug 11 21:55:41 GMT 2021","Wed Aug 11 21:55:42 GMT 2021","742","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_logout",""
"passed","Wed Aug 11 21:55:06 GMT 2021","Wed Aug 11 21:55:21 GMT 2021","14209","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_new_articles",""
"passed","Wed Aug 11 21:54:55 GMT 2021","Wed Aug 11 21:54:57 GMT 2021","1699","vizsgaremek","test_conduit","Test_Conduit","","","test_registration",""
"passed","Wed Aug 11 21:55:27 GMT 2021","Wed Aug 11 21:55:29 GMT 2021","2705","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_list_articles",""
"passed","Wed Aug 11 21:55:04 GMT 2021","Wed Aug 11 21:55:05 GMT 2021","1834","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_one_article",""
"passed","Wed Aug 11 21:55:23 GMT 2021","Wed Aug 11 21:55:25 GMT 2021","2589","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_page_list",""
